component,value,count
geometry,0.402,255
geometry,0.403,233
geometry,0.404,232
geometry,0.405,255
geometry,0.406,267
geometry,0.407,259
geometry,0.408,245
geometry,0.409,255
geometry,0.41,243
geometry,0.411,227
geometry,0.412,261
geometry,0.413,248
geometry,0.414,232
geometry,0.415,219
geometry,0.416,239
geometry,0.417,267
geometry,0.418,214
geometry,0.419,244
geometry,0.42,257
geometry,0.421,229
geometry,0.422,252
geometry,0.423,241
geometry,0.424,225
geometry,0.425,261
geometry,0.426,229
geometry,0.427,244
geometry,0.428,255
geometry,0.429,243
geometry,0.43,271
geometry,0.431,234
geometry,0.432,256
geometry,0.433,219
geometry,0.434,220
geometry,0.435,238
geometry,0.436,242
geometry,0.437,256
geometry,0.438,249
geometry,0.439,248
geometry,0.44,248
geometry,0.441,246
geometry,0.442,251
geometry,0.443,237
geometry,0.444,246
geometry,0.445,230
geometry,0.446,234
geometry,0.447,240
geometry,0.448,224
geometry,0.449,238
geometry,0.45,228
geometry,0.451,262
geometry,0.452,243
geometry,0.453,245
geometry,0.454,234
geometry,0.455,249
geometry,0.456,223
geometry,0.457,205
geometry,0.458,242
geometry,0.459,228
geometry,0.46,245
geometry,0.461,247
geometry,0.462,227
geometry,0.463,231
geometry,0.464,242
geometry,0.465,259
geometry,0.466,216
geometry,0.467,230
geometry,0.468,219
geometry,0.469,207
geometry,0.47,239
geometry,0.471,238
geometry,0.472,235
geometry,0.473,208
geometry,0.474,216
geometry,0.475,216
geometry,0.476,234
geometry,0.477,195
geometry,0.478,261
geometry,0.479,231
geometry,0.48,256
geometry,0.481,237
geometry,0.482,242
geometry,0.483,214
geometry,0.484,251
geometry,0.485,186
geometry,0.486,208
geometry,0.487,219
geometry,0.488,256
geometry,0.489,253
geometry,0.49,243
geometry,0.491,233
geometry,0.492,233
geometry,0.493,204
geometry,0.494,215
geometry,0.495,219
geometry,0.496,207
geometry,0.497,202
geometry,0.498,250
geometry,0.499,203
geometry,0.5,226
geometry,0.501,249
geometry,0.502,241
geometry,0.503,209
geometry,0.504,229
geometry,0.505,231
geometry,0.506,232
geometry,0.507,218
geometry,0.508,226
geometry,0.509,232
geometry,0.51,219
geometry,0.511,225
geometry,0.512,237
geometry,0.513,234
geometry,0.514,215
geometry,0.515,216
geometry,0.516,205
geometry,0.517,225
geometry,0.518,241
geometry,0.519,207
geometry,0.52,242
geometry,0.521,210
geometry,0.522,218
geometry,0.523,219
geometry,0.524,232
geometry,0.525,224
geometry,0.526,206
geometry,0.527,218
geometry,0.528,244
geometry,0.529,233
geometry,0.53,210
geometry,0.531,218
geometry,0.532,203
geometry,0.533,235
geometry,0.534,233
geometry,0.535,237
geometry,0.536,222
geometry,0.537,219
geometry,0.538,219
geometry,0.539,224
geometry,0.54,227
geometry,0.541,212
geometry,0.542,190
geometry,0.543,200
geometry,0.544,212
geometry,0.545,216
geometry,0.546,208
geometry,0.547,207
geometry,0.548,240
geometry,0.549,225
geometry,0.55,210
geometry,0.551,208
geometry,0.552,202
geometry,0.553,198
geometry,0.554,241
geometry,0.555,210
geometry,0.556,179
geometry,0.557,201
geometry,0.558,192
geometry,0.559,221
geometry,0.56,203
geometry,0.561,196
geometry,0.562,213
geometry,0.563,225
geometry,0.564,189
geometry,0.565,185
geometry,0.566,195
geometry,0.567,210
geometry,0.568,221
geometry,0.569,169
geometry,0.57,201
geometry,0.571,214
geometry,0.572,195
geometry,0.573,211
geometry,0.574,198
geometry,0.575,195
geometry,0.576,182
geometry,0.577,202
geometry,0.578,193
geometry,0.579,197
geometry,0.58,191
geometry,0.581,187
geometry,0.582,215
geometry,0.583,203
geometry,0.584,173
geometry,0.585,215
geometry,0.586,196
geometry,0.587,212
geometry,0.588,217
geometry,0.589,202
geometry,0.59,186
geometry,0.591,187
geometry,0.592,168
geometry,0.593,181
geometry,0.594,194
geometry,0.595,160
geometry,0.596,171
geometry,0.597,193
geometry,0.598,190
geometry,0.599,195
geometry,0.6,205
geometry,0.601,169
geometry,0.602,162
geometry,0.603,176
geometry,0.604,200
geometry,0.605,160
geometry,0.606,175
geometry,0.607,189
geometry,0.608,181
geometry,0.609,195
geometry,0.61,174
geometry,0.611,199
geometry,0.612,184
geometry,0.613,202
geometry,0.614,178
geometry,0.615,187
geometry,0.616,198
geometry,0.617,175
geometry,0.618,162
geometry,0.619,198
geometry,0.62,163
geometry,0.621,173
geometry,0.622,178
geometry,0.623,193
geometry,0.624,178
geometry,0.625,157
geometry,0.626,149
geometry,0.627,175
geometry,0.628,168
geometry,0.629,156
geometry,0.63,175
geometry,0.631,172
geometry,0.632,167
geometry,0.633,165
geometry,0.634,205
geometry,0.635,198
geometry,0.636,164
geometry,0.637,180
geometry,0.638,141
geometry,0.639,182
geometry,0.64,189
geometry,0.641,190
geometry,0.642,169
geometry,0.643,156
geometry,0.644,167
geometry,0.645,184
geometry,0.646,186
geometry,0.647,163
geometry,0.648,174
geometry,0.649,168
geometry,0.65,169
geometry,0.651,165
geometry,0.652,176
geometry,0.653,159
geometry,0.654,180
geometry,0.655,146
geometry,0.656,203
geometry,0.657,185
geometry,0.658,153
geometry,0.659,161
geometry,0.66,168
geometry,0.661,183
geometry,0.662,160
geometry,0.663,145
geometry,0.664,161
geometry,0.665,151
geometry,0.666,169
geometry,0.667,178
geometry,0.668,162
geometry,0.669,150
geometry,0.67,156
geometry,0.671,160
geometry,0.672,177
geometry,0.673,168
geometry,0.674,192
geometry,0.675,165
geometry,0.676,171
geometry,0.677,150
geometry,0.678,148
geometry,0.679,150
geometry,0.68,177
geometry,0.681,134
geometry,0.682,140
geometry,0.683,143
geometry,0.684,171
geometry,0.685,135
geometry,0.686,171
geometry,0.687,143
geometry,0.688,172
geometry,0.689,157
geometry,0.69,147
geometry,0.691,150
geometry,0.692,168
geometry,0.693,140
geometry,0.694,167
geometry,0.695,151
geometry,0.696,161
geometry,0.697,163
geometry,0.698,145
geometry,0.699,138
geometry,0.7,134
geometry,0.701,164
geometry,0.702,116
geometry,0.703,152
geometry,0.704,161
geometry,0.705,161
geometry,0.706,167
geometry,0.707,119
geometry,0.708,137
geometry,0.709,160
geometry,0.71,154
geometry,0.711,130
geometry,0.712,133
geometry,0.713,156
geometry,0.714,151
geometry,0.715,130
geometry,0.716,143
geometry,0.717,141
geometry,0.718,130
geometry,0.719,139
geometry,0.72,130
geometry,0.721,154
geometry,0.722,136
geometry,0.723,157
geometry,0.724,147
geometry,0.725,130
geometry,0.726,132
geometry,0.727,134
geometry,0.728,150
geometry,0.729,142
geometry,0.73,135
geometry,0.731,148
geometry,0.732,164
geometry,0.733,126
geometry,0.734,135
geometry,0.735,124
geometry,0.736,127
geometry,0.737,138
geometry,0.738,129
geometry,0.739,124
geometry,0.74,149
geometry,0.741,161
geometry,0.742,122
geometry,0.743,129
geometry,0.744,126
geometry,0.745,142
geometry,0.746,142
geometry,0.747,136
geometry,0.748,131
geometry,0.749,128
geometry,0.75,117
geometry,0.751,130
geometry,0.752,122
geometry,0.753,163
geometry,0.754,132
geometry,0.755,130
geometry,0.756,143
geometry,0.757,137
geometry,0.758,125
geometry,0.759,116
geometry,0.76,119
geometry,0.761,130
geometry,0.762,138
geometry,0.763,146
geometry,0.764,124
geometry,0.765,128
geometry,0.766,141
geometry,0.767,135
geometry,0.768,132
geometry,0.769,130
geometry,0.77,139
geometry,0.771,142
geometry,0.772,110
geometry,0.773,133
geometry,0.774,139
geometry,0.775,108
geometry,0.776,132
geometry,0.777,120
geometry,0.778,124
geometry,0.779,115
geometry,0.78,108
geometry,0.781,120
geometry,0.782,111
geometry,0.783,131
geometry,0.784,131
geometry,0.785,123
geometry,0.786,137
geometry,0.787,125
geometry,0.788,111
geometry,0.789,118
geometry,0.79,115
geometry,0.791,119
geometry,0.792,117
geometry,0.793,118
geometry,0.794,121
geometry,0.795,107
geometry,0.796,123
geometry,0.797,128
geometry,0.798,123
geometry,0.799,113
geometry,0.8,130
geometry,0.801,122
geometry,0.802,134
geometry,0.803,121
geometry,0.804,127
geometry,0.805,107
geometry,0.806,120
geometry,0.807,111
geometry,0.808,117
geometry,0.809,110
geometry,0.81,124
geometry,0.811,119
geometry,0.812,105
geometry,0.813,126
geometry,0.814,131
geometry,0.815,119
geometry,0.816,117
geometry,0.817,104
geometry,0.818,117
geometry,0.819,116
